"sciname","total_hab_area"
"Python breitensteini",625000
"Python brongersmai",380300
"Python curtus",64900
"Python kyaiktiyo",200
"Python molurus",361000
"Python natalensis",4391800
"Python regius",4510700
"Python sebae",7881800
"Pythonodipsas carinata",80900
"Pyxis arachnoides",2800
"Pyxis planicauda",300
"Quedenfeldtia moerens",9000
"Quedenfeldtia trachyblepharus",1000
"Raclitia indica",500
"Rafetus euphraticus",6100
"Rafetus swinhoei",400
"Ramigekko swartbergensis",100
"Ramphotyphlops angusticeps",4900
"Ramphotyphlops becki",4700
"Ramphotyphlops cumingii",40600
"Ramphotyphlops lineatus",1162600
"Ramphotyphlops mansuetus",3400
"Ramphotyphlops olivaceus",41400
"Ramphotyphlops suluensis",300
"Rankinia diemensis",187800
"Regina grahamii",24600
"Regina septemvittata",12100
"Rena bressoni",700
"Rena dissecta",527000
"Rena dulcis",1367300
"Rena maxima",25300
"Rena unguirostris",303300
"Rhabdophis adleri",14700
"Rhabdophis angeli",600
"Rhabdophis auriculatus",41700
"Rhabdophis callichroma",10100
"Rhabdophis callistus",14800
"Rhabdophis ceylonensis",2200
"Rhabdophis chrysargos",888100
"Rhabdophis conspicillatus",320500
"Rhabdophis flaviceps",602800
"Rhabdophis himalayanus",234300
"Rhabdophis leonardi",9700
"Rhabdophis lineatus",41500
"Rhabdophis murudensis",28800
"Rhabdophis nigrocinctus",126300
"Rhabdophis nuchalis",322000
"Rhabdophis pentasupralabialis",117100
"Rhabdophis plumbicolor",1349900
"Rhabdophis rhodomelas",520700
"Rhabdophis spilogaster",3700
"Rhabdophis subminiatus",104100
"Rhabdophis swinhonis",16600
"Rhabdophis tigrinus",1751900
"Rhabdops aquaticus",1300
"Rhabdops olivaceus",7400
"Rhachidelus brazili",1739300
"Rhachisaurus brachylepis",600
"Rhacodactylus auriculatus",11500
"Rhacodactylus leachianus",3800
"Rhadinaea bogertorum",2900
"Rhadinaea calligaster",5000
"Rhadinaea cuneata",100
"Rhadinaea decorata",124400
"Rhadinaea flavilata",64800
"Rhadinaea forbesi",3000
"Rhadinaea fulvivittis",8400
"Rhadinaea gaigeae",3300
"Rhadinaea hesperia",141000
"Rhadinaea laureata",22000
"Rhadinaea macdougalli",600
"Rhadinaea marcellae",300
"Rhadinaea montana",700
"Rhadinaea myersi",500
"Rhadinaea omiltemana",1400
"Rhadinaea pulveriventris",2200
"Rhadinaea quinquelineata",1700
"Rhadinaea sargenti",1000
"Rhadinaea stadelmani",600
"Rhadinaea taeniata",58100
"Rhadinaea vermiculaticeps",2500
"Rhadinella anachoreta",200
"Rhadinella godmani",22700
"Rhadinella hannsteini",4400
"Rhadinella kanalchutchan",1900
"Rhadinella kinkelini",18400
"Rhadinella lachrymans",5000
"Rhadinella montecristi",300
"Rhadinella pilonaorum",200
"Rhadinella posadasi",400
"Rhadinella schistosa",4700
"Rhadinella serperaster",1100
"Rhadinella tolpanorum",100
"Rhadinophanes monticola",400
"Rhamnophis aethiopissa",3232000
"Rhamnophis batesii",855700
"Rhamphiophis oxyrhynchus",2262800
"Rhamphiophis rostratus",1907300
"Rhampholeon acuminatus",100
"Rhampholeon boulengeri",252700
"Rhampholeon chapmanorum",100
"Rhampholeon gorongosae",300
"Rhampholeon marshalli",700
"Rhampholeon maspictus",100
"Rhampholeon moyeri",1700
"Rhampholeon platyceps",100
"Rhampholeon spectrum",1108400
"Rhampholeon spinosus",600
"Rhampholeon temporalis",300
"Rhampholeon uluguruensis",200
"Rhampholeon viridis",300
"Rhineura floridana",24200
"Rhinobothryum bovallii",110100
"Rhinobothryum lentiginosum",4716400
"Rhinocheilus lecontei",1873000
"Rhinogekko femoralis",113700
"Rhinoleptus koniagui",223000
"Rhinophis blythii",700
"Rhinophis dorsimaculatus",100
"Rhinophis drummondhayi",200
"Rhinophis goweri",200
"Rhinophis homolepis",500
"Rhinophis melanogaster",100
"Rhinophis philippinus",900
"Rhinophis porrectus",100
"Rhinophis roshanpererai",100
"Rhinophis saffragamus",5800
"Rhinophis sanguineus",2900
"Rhinophis travancoricus",300
"Rhinophis tricoloratus",100
"Rhinoplocephalus bicolor",20000
"Rhinotyphlops ataeniatus",291500
"Rhinotyphlops boylei",94000
"Rhinotyphlops lalandei",1080100
"Rhinotyphlops schinzi",366900
"Rhinotyphlops scorteccii",3700
"Rhinotyphlops unitaeniatus",101500
"Rhoptropella ocellata",10400
"Rhoptropus afer",50400
"Rhoptropus barnardi",137700
"Rhoptropus benguellensis",11500
"Rhoptropus biporosus",22700
"Rhoptropus boultoni",22100
"Rhoptropus bradfieldi",17100
"Rhoptropus diporus",3100
"Rhoptropus montanus",100
"Rhoptropus taeniostictus",8400
"Rhynchocalamus melanocephalus",12800
"Rhynchoedura angusta",172800
"Rhynchoedura eyrensis",63700
"Rhynchoedura mentalis",3200
"Rhynchoedura ormsbyi",342500
"Rhynchoedura ornata",1256300
"Rhynchoedura sexapora",18200
"Riama anatoloros",2700
"Riama cashcaensis",100
"Riama colomaromani",2200
"Riama columbiana",1300
"Riama labionis",300
"Riama orcesi",1300
"Riama raneyi",5100
"Riama simotera",800
"Riama stigmatoral",800
"Riama striata",20000
"Riama unicolor",6700
"Rieppeleon brachyurus",341300
"Rieppeleon brevicaudatus",48100
"Rieppeleon kerstenii",1006700
"Ristella beddomii",6400
"Ristella guentheri",3800
"Ristella rurkii",2500
"Ristella travancorica",1400
"Rodriguesophis iglesiasi",712100
"Saara asmussi",250800
"Saara hardwickii",164400
"Saara loricata",53000
"Sacalia quadriocellata",60400
"Saiphos equalis",122600
"Salea anamallayana",900
"Salea horsfieldii",900
"Salomonelaps par",19500
"Saltuarius cornutus",16500
"Saltuarius kateae",200
"Saltuarius moritzi",20500
"Saltuarius salebrosus",55800
"Saltuarius swaini",3800
"Saltuarius wyberba",4800
"Salvadora bairdi",127900
"Salvadora grahamiae",677700
"Salvadora hexalepis",699600
"Salvadora intermedia",6100
"Salvadora lemniscata",29300
"Salvadora mexicana",62400
"Salvator duseni",800400
"Salvator merianae",4392800
"Salvator rufescens",304100
"Sanzinia madagascariensis",101700
"Saphenophis boursieri",10100
"Saphenophis sneiderni",300
"Saphenophis tristriatus",200
"Saproscincus basiliscus",18300
"Saproscincus challengeri",5200
"Saproscincus czechurai",2500
"Saproscincus eungellensis",400
"Saproscincus hannahae",7600
"Saproscincus lewisi",2000
"Saproscincus mustelinus",126900
"Saproscincus oriarus",4600
"Saproscincus rosei",45100
"Saproscincus spectabilis",36300
"Saproscincus tetradactylus",10600
"Sarada darwini",4000
"Sarada deccanensis",4300
"Saurodactylus brosseti",5500
"Saurodactylus fasciatus",18100
"Saurodactylus mauritanicus",11800
"Sauromalus ater",354000
"Sauromalus hispidus",1000
"Sauromalus slevini",200
"Sauromalus varius",100
"Scaphiodontophis annulatus",113600
"Scaphiophis albopunctatus",4439500
"Scaphiophis raffreyi",12500
"Scelarcis perspicillata",53800
"Sceloporus adleri",3000
"Sceloporus aeneus",12400
"Sceloporus anahuacus",700
"Sceloporus arenicolus",6800
"Sceloporus asper",17800
"Sceloporus bicanthalis",3800
"Sceloporus bulleri",15900
"Sceloporus carinatus",7200
"Sceloporus cautus",29900
"Sceloporus chaneyi",1300
"Sceloporus chrysostictus",106700
"Sceloporus clarkii",65400
"Sceloporus couchii",10100
"Sceloporus cozumelae",100
"Sceloporus cryptus",1300
"Sceloporus cyanostictus",3100
"Sceloporus dugesii",20100
"Sceloporus edwardtaylori",4700
"Sceloporus formosus",11300
"Sceloporus gadoviae",3900
"Sceloporus graciosus",635700
"Sceloporus grammicus",144400
"Sceloporus grandaevus",200
"Sceloporus heterolepis",24800
"Sceloporus horridus",250200
"Sceloporus hunsakeri",4800
"Sceloporus insignis",5600
"Sceloporus internasalis",9200
"Sceloporus jalapae",3500
"Sceloporus jarrovii",78600
"Sceloporus lemosespinali",32500
"Sceloporus licki",2800
"Sceloporus lunae",400
"Sceloporus lundelli",101400
"Sceloporus macdougalli",5300
"Sceloporus maculosus",3700
"Sceloporus magister",840600
"Sceloporus malachiticus",18900
"Sceloporus megalepidurus",3100
"Sceloporus melanorhinus",64200
"Sceloporus merriami",14100
"Sceloporus minor",63700
"Sceloporus mucronatus",20500
"Sceloporus nelsoni",27800
"Sceloporus oberon",4000
"Sceloporus occidentalis",870500
"Sceloporus ochoterenae",4600
"Sceloporus olivaceus",164300
"Sceloporus orcutti",85300
"Sceloporus ornatus",3300
"Sceloporus palaciosi",1000
"Sceloporus parvus",57400
"Sceloporus poinsettii",574900
"Sceloporus prezygus",3300
"Sceloporus pyrocephalus",1500
"Sceloporus salvini",1000
"Sceloporus samcolemani",4900
"Sceloporus scalaris",96400
"Sceloporus serrifer",21100
"Sceloporus shannonorum",12100
"Sceloporus siniferus",63500
"Sceloporus slevini",56800
"Sceloporus smaragdinus",7700
"Sceloporus smithi",8700
"Sceloporus spinosus",29800
"Sceloporus squamosus",21200
"Sceloporus stejnegeri",3200
"Sceloporus subpictus",100
"Sceloporus sugillatus",1100
"Sceloporus taeniocnemis",9300
"Sceloporus tanneri",100
"Sceloporus teapensis",70500
"Sceloporus torquatus",112400
"Sceloporus undulatus",2802700
"Sceloporus utiformis",70800
"Sceloporus vandenburgianus",5900
"Sceloporus variabilis",534700
"Sceloporus virgatus",31500
"Sceloporus woodi",4700
"Sceloporus zosteromus",99800
"Scelotes arenicola",700
"Scelotes bidigittatus",47700
"Scelotes bipes",3100
"Scelotes bourquini",1900
"Scelotes caffer",12600
"Scelotes capensis",49900
"Scelotes fitzsimonsi",1200
"Scelotes gronovii",1800
"Scelotes kasneri",3900
"Scelotes limpopoensis",27400
"Scelotes mirus",30000
"Scelotes montispectus",200
"Scelotes mossambicus",36600
"Scelotes sexlineatus",5300
"Scelotes uluguruensis",1200
"Scelotes vestigifer",1200
"Scincella apraefrontalis",200
"Scincella assata",43900
"Scincella barbouri",6000
"Scincella boettgeri",700
"Scincella cherriei",171300
"Scincella devorator",100
"Scincella doriae",422800
"Scincella formosensis",10400
"Scincella gemmingeri",7800
"Scincella incerta",5200
"Scincella lateralis",771600
"Scincella melanosticta",247800
"Scincella modesta",50800
"Scincella monticola",192400
"Scincella ochracea",14700
"Scincella potanini",158400
"Scincella punctatolineata",3900
"Scincella reevesii",889600
"Scincella rufocaudata",5000
"Scincella rupicola",89000
"Scincella silvicola",1800
"Scincella tsinlingensis",33300
"Scincella vandenburghi",21200
"Scincella victoriana",300
"Scincopus fasciatus",1324700
"Scincus albifasciatus",3080600
"Scincus scincus",422600
"Scolecophis atrocinctus",14400
"Scolecoseps acontias",6000
"Scolecoseps broadleyi",4100
"Scriptosaura catimbau",300
"Senticolis triaspis",556700
"Sepsina alberti",4300
"Sepsina angolensis",701800
"Sepsina bayonii",33400
"Sepsina copei",44600
"Sepsina tetradactyla",82000
"Sepsiscus pluto",2300
"Sepsophis punctatus",12600
"Siagonodon acutirostris",23800
"Siagonodon borrichianus",147700
"Siagonodon cupinensis",61500
"Siagonodon septemstriatus",2514700
"Sibon annulatus",52900
"Sibon anthracops",6900
"Sibon argus",29900
"Sibon carri",4200
"Sibon dimidiatus",86700
"Sibon linearis",200
"Sibon manzanaresi",100
"Sibon merendonensis",100
"Sibon miskitus",700
"Sibon nebulatus",2158300
"Sibon sanniolus",91900
"Sibynophis bistrigatus",15000
"Sibynophis bivittatus",7800
"Sibynophis chinensis",573400
"Sibynophis collaris",1431700
"Sibynophis geminatus",254700
"Sibynophis melanocephalus",597400
"Sibynophis sagittarius",231100
"Sibynophis subpunctatus",496500
"Sibynophis triangularis",200
"Siebenrockiella crassicollis",376600
"Siebenrockiella leytensis",4900
"Sigaloseps conditus",100
"Sigaloseps deplanchei",1100
"Sigaloseps pisinnus",400
"Simalia boeleni",52800
"Simalia clastolepis",16500
"Simalia nauta",3400
"Simalia oenpelliensis",10900
"Simalia tracyae",19800
"Simiscincus aurantiacus",1000
"Simophis rhinostoma",1043900
"Simoselaps anomalus",1500100
"Simoselaps bertholdi",1084600
"Simoselaps bimaculatus",498300
"Simoselaps littoralis",20500
"Simoselaps minimus",5100
"Sinomicrurus japonicus",1900
"Sinomicrurus kelloggi",251600
"Sinomicrurus macclellandi",1587800
"Sinomicrurus sauteri",3700
"Siphlophis ayauma",1800
"Siphlophis cervinus",5871300
"Siphlophis compressus",6024600
"Siphlophis leucocephalus",24600
"Siphlophis longicaudatus",122500
"Siphlophis pulcher",301700
"Siphlophis worontzowi",2013000
"Sistrurus catenatus",573700
"Sistrurus miliarius",657600
"Sitana bahiri",700
"Sitana laticeps",100
"Sitana ponticeriana",8500
"Sitana sivalensis",4900
"Sitana spinaecephalus",49400
"Smaug breyeri",13700
"Smaug depressus",9400
"Smaug giganteus",12300
"Smaug mossambicus",3800
"Smaug regius",1600
"Smaug vandami",25500
"Smaug warreni",5400
"Smithophis bicolor",13400
"Sonora aemula",32100
"Sonora aequalis",6300
"Sonora michoacanensis",19600
"Sonora mutabilis",15100
"Sonora semiannulata",1197900
"Sordellina punctata",62800
"Spalerosophis arenarius",69600
"Spalerosophis atriceps",2100
"Spalerosophis diadema",11092700
"Spalerosophis dolichospilus",60500
"Spalerosophis microlepis",129900
"Sphaerodactylus altavelensis",1400
"Sphaerodactylus argivus",400
"Sphaerodactylus argus",6400
"Sphaerodactylus armasi",200
"Sphaerodactylus armstrongi",1300
"Sphaerodactylus bromeliarum",100
"Sphaerodactylus caicosensis",700
"Sphaerodactylus callocricus",600
"Sphaerodactylus celicara",3900
"Sphaerodactylus cinereus",400
"Sphaerodactylus clenchi",1300
"Sphaerodactylus copei",4700
"Sphaerodactylus corticola",100
"Sphaerodactylus cricoderus",1000
"Sphaerodactylus cryphius",100
"Sphaerodactylus dacnicolor",200
"Sphaerodactylus darlingtoni",4700
"Sphaerodactylus difficilis",15600
"Sphaerodactylus docimus",200
"Sphaerodactylus dunni",5900
"Sphaerodactylus elegans",36300
"Sphaerodactylus fantasticus",1700
"Sphaerodactylus festus",900
"Sphaerodactylus gaigeae",3400
"Sphaerodactylus glaucus",197300
"Sphaerodactylus goniorhynchus",3900
"Sphaerodactylus graptolaemus",3000
"Sphaerodactylus heliconiae",19000
"Sphaerodactylus homolepis",7400
"Sphaerodactylus intermedius",2000
"Sphaerodactylus klauberi",3100
"Sphaerodactylus leucaster",200
"Sphaerodactylus lineolatus",82600
"Sphaerodactylus macrolepis",5900
"Sphaerodactylus microlepis",200
"Sphaerodactylus millepunctatus",92200
"Sphaerodactylus molei",91500
"Sphaerodactylus monensis",100
"Sphaerodactylus nicholsi",900
"Sphaerodactylus nigropunctatus",12700
"Sphaerodactylus notatus",42600
"Sphaerodactylus ocoae",200
"Sphaerodactylus oliveri",1800
"Sphaerodactylus oxyrhinus",800
"Sphaerodactylus parkeri",400
"Sphaerodactylus parthenopion",100
"Sphaerodactylus plummeri",100
"Sphaerodactylus ramsdeni",1000
"Sphaerodactylus randi",200
"Sphaerodactylus richardi",500
"Sphaerodactylus richardsoni",300
"Sphaerodactylus roosevelti",200
"Sphaerodactylus ruibali",200
"Sphaerodactylus samanensis",100
"Sphaerodactylus savagei",1800
"Sphaerodactylus scaber",11000
"Sphaerodactylus scapularis",4400
"Sphaerodactylus semasiops",700
"Sphaerodactylus siboney",100
"Sphaerodactylus sputator",300
"Sphaerodactylus storeyae",100
"Sphaerodactylus streptophorus",1300
"Sphaerodactylus torrei",100
"Sphaerodactylus townsendi",1300
"Sphaerodactylus vincenti",3000
"Sphaerodactylus zygaena",100
"Sphenodon punctatus",500
"Sphenomorphus acutus",16200
"Sphenomorphus aignanus",18300
"Sphenomorphus anomalopus",2600
"Sphenomorphus anotus",1100
"Sphenomorphus bignelli",7200
"Sphenomorphus buenloicus",20600
"Sphenomorphus buettikoferi",1900
"Sphenomorphus cinereus",10900
"Sphenomorphus concinnatus",32700
"Sphenomorphus consobrinus",23300
"Sphenomorphus courcyanus",47200
"Sphenomorphus cranei",16300
"Sphenomorphus crassus",100
"Sphenomorphus cryptotis",29600
"Sphenomorphus cumingi",80100
"Sphenomorphus cyanolaemus",160400
"Sphenomorphus dussumieri",10800
"Sphenomorphus fasciatus",64900
"Sphenomorphus forbesi",300
"Sphenomorphus fragosus",800
"Sphenomorphus grandisonae",300
"Sphenomorphus granulatus",24500
"Sphenomorphus haasi",8300
"Sphenomorphus incognitus",416900
"Sphenomorphus indicus",2806500
"Sphenomorphus kinabaluensis",900
"Sphenomorphus knollmanae",400
"Sphenomorphus lineopunctulatus",11400
"Sphenomorphus maculatus",570800
"Sphenomorphus maculicollus",2900
"Sphenomorphus melanopogon",23400
"Sphenomorphus mimicus",100
"Sphenomorphus modiglianii",1400
"Sphenomorphus muelleri",18700
"Sphenomorphus multisquamatus",96300
"Sphenomorphus murudensis",600
"Sphenomorphus necopinatus",100
"Sphenomorphus nigrolabris",76700
"Sphenomorphus nigrolineatus",16500
"Sphenomorphus oligolepis",7400
"Sphenomorphus orientalis",300
"Sphenomorphus papuae",61700
"Sphenomorphus praesignis",3400
"Sphenomorphus puncticentralis",8400
"Sphenomorphus sabanus",32000
"Sphenomorphus sananus",500
"Sphenomorphus sanctus",67300
"Sphenomorphus sarasinorum",4500
"Sphenomorphus schlegeli",100
"Sphenomorphus scotophilus",6800
"Sphenomorphus shelfordi",200
"Sphenomorphus solomonis",192800
"Sphenomorphus stellatus",13700
"Sphenomorphus striolatus",8400
"Sphenomorphus sungaicolus",100
"Sphenomorphus taiwanensis",800
"Sphenomorphus tanahtinggi",100
"Sphenomorphus tanneri",15400
"Sphenomorphus taylori",500
"Sphenomorphus tersus",1000
"Sphenomorphus tonkinensis",40200
"Sphenomorphus transversus",100
"Sphenomorphus tridigitus",3600
"Sphenomorphus tritaeniatus",400
"Sphenomorphus tropidonotus",38400
"Sphenomorphus undulatus",43500
"Sphenomorphus vanheurni",4700
"Sphenomorphus variegatus",129900
"Sphenomorphus woodfordi",5800
"Spilotes pullatus",7175200
"Spilotes sulphureus",5666400
"Spondylurus caicosae",700
"Spondylurus fulgidus",100
"Spondylurus monae",100
"Spondylurus nitidus",900
"Spondylurus semitaeniatus",100
"Stegonotus aruensis",3800
"Stegonotus batjanensis",21800
"Stegonotus borneensis",283400
"Stegonotus cucullatus",184400
"Stegonotus derooijae",2600
"Stegonotus diehli",75500
"Stegonotus florensis",5200
"Stegonotus guentheri",3600
"Stegonotus heterurus",9100
"Stegonotus iridis",4700
"Stegonotus keyensis",1500
"Stegonotus modestus",16100
"Stegonotus muelleri",38700
"Stegonotus parvus",171400
"Stegonotus sutteri",2900
"Stellagama stellio",536400
"Stenocercus aculeatus",9600
"Stenocercus angel",1400
"Stenocercus angulifer",6600
"Stenocercus arndti",200
"Stenocercus azureus",2600
"Stenocercus cadlei",5200
"Stenocercus caducus",1157200
"Stenocercus carrioni",500
"Stenocercus chinchaoensis",100
"Stenocercus chlorostictus",500
"Stenocercus chota",500
"Stenocercus chrysopygus",2400
"Stenocercus crassicaudatus",7000
"Stenocercus cupreus",400
"Stenocercus doellojuradoi",96800
"Stenocercus dumerilii",149300
"Stenocercus empetrus",1200
"Stenocercus erythrogaster",11300
"Stenocercus festae",3800
"Stenocercus fimbriatus",680100
"Stenocercus formosus",300
"Stenocercus frittsi",2700
"Stenocercus guentheri",10700
"Stenocercus huancabambae",1800
"Stenocercus humeralis",2100
"Stenocercus imitator",1600
"Stenocercus iridescens",25600
"Stenocercus lache",3200
"Stenocercus latebrosus",1600
"Stenocercus limitaris",2200
"Stenocercus marmoratus",5400
"Stenocercus melanopygus",1200
"Stenocercus modestus",900
"Stenocercus nigromaculatus",100
"Stenocercus nubicola",100
"Stenocercus ochoai",1700
"Stenocercus orientalis",1400
"Stenocercus ornatissimus",500
"Stenocercus ornatus",3200
"Stenocercus pectinatus",158400
"Stenocercus percultus",1600
"Stenocercus prionotus",221200
"Stenocercus puyango",5500
"Stenocercus quinarius",60300
"Stenocercus rhodomelas",5100
"Stenocercus roseiventris",867900
"Stenocercus santander",3300
"Stenocercus scapularis",13600
"Stenocercus simonsii",300
"Stenocercus sinesaccus",249500
"Stenocercus squarrosus",2500
"Stenocercus stigmosus",1900
"Stenocercus torquatus",2000
"Stenocercus trachycephalus",12400
"Stenocercus variabilis",200
"Stenocercus varius",1800
"Stenodactylus affinis",27800
"Stenodactylus doriae",2321500
"Stenodactylus grandiceps",15000
"Stenodactylus leptocosymbotes",219800
"Stenodactylus petrii",7293300
"Stenodactylus sthenodactylus",9018700
"Stenolepis ridleyi",6700
"Stenorrhina degenhardtii",526200
"Stenorrhina freminvillei",271100
"Stichophanes ningshaanensis",400
"Stoliczkia borneensis",39000
"Storeria dekayi",251100
"Storeria hidalgoensis",10200
"Storeria occipitomaculata",1634700
"Storeria storerioides",26200
"Strobilurus torquatus",39600
"Strophurus assimilis",222500
"Strophurus ciliaris",3624900
"Strophurus congoo",400
"Strophurus elderi",2302600
"Strophurus intermedius",1695400
"Strophurus jeanae",1141000
"Strophurus krisalys",506400
"Strophurus mcmillani",2300
"Strophurus michaelseni",7900
"Strophurus rankini",9000
"Strophurus spinigerus",116600
"Strophurus strophurus",465300
"Strophurus taeniatus",12800
"Strophurus taenicauda",74000
"Strophurus wellingtonae",156000
"Strophurus williamsi",802300
"Strophurus wilsoni",16800
"Subdoluseps bowringii",2062500
"Subdoluseps frontoparietalis",200
"Subdoluseps herberti",12900
"Subdoluseps pruthi",900
"Subsessor bocourti",3300
"Sumatranus albomaculatus",800
"Sundatyphlops polygrammicus",14600
"Suta fasciata",600800
"Suta ordensis",94100
"Suta punctata",1480000
"Suta suta",3254100
"Symphimus leucostomus",9400
"Symphimus mayae",82100
"Sympholis lippiens",31400
"Synophis bicolor",1600
"Synophis calamitus",100
"Tachymenis affinis",4100
"Tachymenis attenuata",600
"Tachymenis chilensis",44100
"Taeniophallus affinis",431900
"Taeniophallus bilineatus",139700
"Taeniophallus brevirostris",4504400
"Taeniophallus nicagus",370500
"Taeniophallus occipitalis",7545600
"Taeniophallus persimilis",5300
"Taeniophallus poecilopogon",49300
"Taeniophallus quadriocellatus",278300
"Takydromus albomaculosus",100
"Takydromus amurensis",291400
"Takydromus dorsalis",600
"Takydromus hani",33900
"Takydromus hsuehshanensis",400
"Takydromus intermedius",189800
"Takydromus khasiensis",17000
"Takydromus kuehnei",179800
"Takydromus luyeanus",700
"Takydromus sauteri",3800
"Takydromus septentrionalis",621600
"Takydromus sexlineatus",526500
"Takydromus smaragdinus",300
"Takydromus stejnegeri",200
"Takydromus sylvaticus",56100
"Takydromus tachydromoides",298400
"Takydromus toyamai",100
"Takydromus wolteri",784800
"Tantalophis discolor",2300
"Tantilla alticola",10500
"Tantilla armillata",44100
"Tantilla atriceps",135000
"Tantilla bocourti",79000
"Tantilla boipiranga",23600
"Tantilla brevicauda",4800
"Tantilla briggsi",300
"Tantilla calamarina",64800
"Tantilla capistrata",5900
"Tantilla cascadae",400
"Tantilla coronadoi",600
"Tantilla coronata",330300
"Tantilla cucullata",31600
"Tantilla cuniculator",31000
"Tantilla deppei",1100
"Tantilla flavilineata",2200
"Tantilla gracilis",631700
"Tantilla hobartsmithi",386300
"Tantilla impensa",12200
"Tantilla insulamontana",200
"Tantilla jani",4500
"Tantilla johnsoni",300
"Tantilla lempira",100
"Tantilla melanocephala",11762200
"Tantilla miyatai",100
"Tantilla moesta",32400
"Tantilla nigra",100
"Tantilla nigriceps",924300
"Tantilla oaxacae",900
"Tantilla oolitica",1600
"Tantilla petersi",100
"Tantilla planiceps",95500
"Tantilla psittaca",4400
"Tantilla relicta",19200
"Tantilla reticulata",68500
"Tantilla robusta",200
"Tantilla rubra",77600
"Tantilla schistosa",135500
"Tantilla semicincta",10800
"Tantilla sertula",500
"Tantilla shawi",1000
"Tantilla slavensi",3700
"Tantilla supracincta",50100
"Tantilla taeniata",63700
"Tantilla tayrae",500
"Tantilla triseriata",900
"Tantilla vermiformis",6600
"Tantilla vulcani",1600
"Tantilla wilcoxi",232000
"Tantilla yaquia",80100
"Tantillita brevissima",1800
"Tantillita canula",104200
"Tantillita lintoni",9100
"Tarentola americana",35900
"Tarentola angustimentalis",1800
"Tarentola annularis",1915900
"Tarentola boavistensis",500
"Tarentola boehmei",15700
"Tarentola boettgeri",1100
"Tarentola caboverdiana",500
"Tarentola chazaliae",14200
"Tarentola crombiei",2200
"Tarentola delalandii",2800
"Tarentola deserti",8500
"Tarentola ephippiata",1055900
"Tarentola fogoensis",200
"Tarentola gomerensis",300
"Tarentola hoggarensis",2290700
"Tarentola mauritanica",983400
"Tarentola mindiae",1200
"Tarentola neglecta",615000
"Tarentola parvicarinata",4000
"Tarentola pastoria",1300
"Tarentola protogigas",100
"Tarentola rudis",100
"Tarentola senegambiae",61200
"Teira dugesii",800
"Teius oculatus",726700
"Teius suquiensis",30600
"Teius teyou",958300
"Telescopus beetzii",228300
"Telescopus dhara",1390100
"Telescopus fallax",218700
"Telescopus finkeldeyi",23800
"Telescopus hoogstraali",3400
"Telescopus nigriceps",5600
"Telescopus obtusus",922200
"Telescopus pulcher",100
"Telescopus rhinopoma",184800
"Telescopus semiannulatus",4280000
"Telescopus tessellatus",37400
"Telescopus tripolitanus",1854500
"Telescopus variegatus",685400
"Tenuidactylus bogdanovi",12600
"Tenuidactylus caspius",1405200
"Tenuidactylus dadunensis",3300
"Tenuidactylus elongatus",26900
"Tenuidactylus fedtschenkoi",7900
"Tenuidactylus longipes",4600
"Tenuidactylus microlepis",200
"Tenuidactylus voraginosus",65700
"Teratoscincus bedriagai",109200
"Teratoscincus keyserlingii",634700
"Teratoscincus microlepis",53200
"Teratoscincus przewalskii",694500
"Teratoscincus roborowskii",4500
"Teratoscincus rustamowi",4700
"Teratoscincus scincus",444300
"Teretrurus sanguineus",2900
"Testudo hermanni",173000
"Testudo marginata",30700
"Tetracheilostoma bilineatum",900
"Tetracheilostoma breuili",100
"Tetradactylus africanus",29600
"Tetradactylus breyeri",3300
"Tetradactylus ellenbergeri",180300
"Tetradactylus fitzsimonsi",4400
"Tetradactylus seps",87500
"Tetradactylus tetradactylus",165000
"Tetralepis fruhstorferi",1800
"Thamnodynastes almae",200
"Thamnodynastes chaquensis",580100
"Thamnodynastes chimanta",300
"Thamnodynastes duida",100
"Thamnodynastes gambotensis",4000
"Thamnodynastes hypoconia",3683700
"Thamnodynastes lanei",239700
"Thamnodynastes longicaudus",6300
"Thamnodynastes pallidus",4486700
"Thamnodynastes ramonriveroi",1006900
"Thamnodynastes rutilus",371300
"Thamnodynastes sertanejo",8500
"Thamnodynastes strigatus",42400
"Thamnophis atratus",79300
"Thamnophis brachystoma",5200
"Thamnophis butleri",10200
"Thamnophis chrysocephalus",300
"Thamnophis couchii",4000
"Thamnophis cyrtopsis",648400
"Thamnophis elegans",2118200
"Thamnophis eques",3100
"Thamnophis errans",45400
"Thamnophis exsul",3200
"Thamnophis fulvus",12100
"Thamnophis gigas",2300
"Thamnophis godmani",19900
"Thamnophis hammondii",1800
"Thamnophis marcianus",514500
"Thamnophis melanogaster",38700
"Thamnophis mendax",1000
"Thamnophis nigronuchalis",5500
"Thamnophis ordinoides",127000
"Thamnophis postremus",2200
"Thamnophis proximus",27100
"Thamnophis pulchrilatus",16400
"Thamnophis radix",882500
"Thamnophis rufipunctatus",57600
"Thamnophis sauritus",900300
"Thamnophis scalaris",17700
"Thamnophis scaliger",3200
"Thamnophis sirtalis",4904200
"Thamnophis sumichrasti",6700
"Thamnophis valida",50500
"Thamnosophis epistibes",44100
"Thamnosophis infrasignatus",44200
"Thamnosophis lateralis",158500
"Thamnosophis martae",400
"Thamnosophis stumpffi",2500
"Thecadactylus rapicauda",229600
"Thecadactylus solimoensis",2120000
"Thelotornis capensis",3080300
"Thelotornis kirtlandii",3985000
"Thelotornis mossambicanus",1263700
